123, 2019-10-16, 2, Bent Fender, 2019-09-30, Fender, 47.68, 7.15, 54.83
124, 2019-10-19, 4, Scratch, 2019-09-28, Buffing, 12.61, 1.89, 14.50
125, 2019-11-08, 2, Bulb Replacement, 2019-11-04, Bulb, 15.97, 2.40, 18.37
126, 2019-12-13, 1, Broken Mirror, 2019-11-27, Mirror, 63.78, 9.56, 73.34
127, 2019-12-21, 4, Bent Fender, 2019-12-05, Fender, 47.68, 7.15, 54.83
128, 2020-01-03, 4, Winter Tires, 2020-01-03, Tires, 178.69, 26.80, 205.49
129, 2020-01-12, 1, Oil Change, 2020-01-12, Oil, 100.00, 15.00, 115.00
130, 2020-01-12, 2, Oil Change, 2020-01-12, Oil, 100.00, 15.00, 115.00
131, 2020-01-16, 3, Winter Tires, 2020-01-16, Fender, 178.69, 26.80, 205.49
132, 2020-07-24, 4, Scratch, 2020-07-20, Buffing, 12.61, 1.89, 14.50
133, 2020-08-15, 1, Scratch, 2020-08-13, Buffing, 12.61, 1.89, 14.50
134, 2022-01-04, 1, Bent Fender, 2022-01-01, Fender, 47.68, 7.15, 54.83
135, 2022-01-09, 4, Winter Tires, 2022-01-09, Tires, 178.69, 26.80, 205.49
136, 2022-01-09, 1, Winter Tires, 2022-01-09, Tires, 178.69, 26.80, 205.49
137, 2022-01-09, 2, Winter Tires, 2022-01-09, Tires, 178.69, 26.80, 205.49
138, 2022-03-08, 3, Scratch, 2022-02-17, Buffing, 12.61, 1.89, 14.50
139, 2022-04-13, 3, Bent Fender, 2022-04-06, Fender, 47.68, 7.15, 54.83
140, 2022-04-14, 4, Broken Mirror, 2022-04-10, Mirror, 63.78, 9.56, 73.34
141, 2022-06-03, 2, Scratch, 2022-06-02, Buffing, 12.61, 1.89, 14.50
142, 2022-06-03, 4, Oil Change, 2022-06-12, Oil, 100.00, 15.00, 115.00
143, 2022-06-29, 3, Oil Change, 2022-06-29, Oil, 100.0, 15.00, 115.00
144, 2022-07-07, 4, All Season Tire, 2022-07-07, Tires, 243.99, 36.60, 280.59
145, 2022-07-10, 1, All Season Tire, 2022-07-10, Tires, 243.99, 36.60, 280.59
146, 2022-07-13, 2, All Season Tire, 2022-07-13, Tires, 243.99, 36.60, 280.59
