1356, 2022-01-04, 1, 45, Fender, 47.68, 1, 47.58, 7.15, 54.83
1357, 2022-01-09, 4, 12, Tires, 178.69, 1, 178.69, 26.80, 205.49
1358, 2022-01-09, 3, 12, Tires, 178.69, 1, 178.69, 26.80, 205.49
1359, 2022-01-09, 2, 12, Tires, 178.69, 1, 178.69, 26.80, 205.49
1360, 2022-03-08, 3, 344, Paint, 12.61, 1, 12.61, 1.89, 14.50
1361, 2022-04-13, 3, 145, Fender, 47.68, 1, 47.68, 7.15, 54.83
1362, 2022-04-14, 2, 9, Mirror, 63.78, 1, 63.78, 9.56, 73.34
1363, 2022-06-03, 4, 344, Paint, 12.61, 1, 12.61, 1.89, 14.50
1364, 2022-06-03, 3, 345, Oil, 100.00, 4, 15.00, 100.00, 115.00
1365, 2022-06-29, 3, 650, Oil, 100.00, 1, 15.00, 100.00, 115.00
1366, 2022-07-07, 4, 12, Tires, 243.99, 10, 243.99, 36.60, 280.59
1366, 2022-07-10, 4, 12, Tires, 243.99, 10, 243.99, 36.60, 280.59
1366, 2022-07-13, 4, 12, Tires, 243.99, 10, 243.99, 36.60, 280.59
